,movie_id,character,id,name,order
0,15602,Max Goldman,6837.0,Walter Matthau,0.0
1,15602,John Gustafson,3151.0,Jack Lemmon,1.0
2,15602,Ariel Gustafson,13567.0,Ann-Margret,2.0
3,15602,Maria Sophia Coletta Ragetti,16757.0,Sophia Loren,3.0
4,15602,Melanie Gustafson,589.0,Daryl Hannah,4.0
5,15602,Grandpa Gustafson,16523.0,Burgess Meredith,5.0
6,15602,Jacob Goldman,7166.0,Kevin Pollak,6.0
7,11862,George Banks,67773.0,Steve Martin,0.0
8,11862,Nina Banks,3092.0,Diane Keaton,1.0
9,11862,Franck Eggelhoffer,519.0,Martin Short,2.0
10,11862,Annie Banks-MacKenzie,70696.0,Kimberly Williams-Paisley,3.0
11,11862,Bryan MacKenzie,59222.0,George Newbern,4.0
12,11862,Matty Banks,18793.0,Kieran Culkin,5.0
13,11862,Howard Weinstein,14592.0,BD Wong,6.0
14,11862,John MacKenzie,20906.0,Peter Michael Goetz,7.0
15,11862,Joanna MacKenzie,54348.0,Kate McGregor-Stewart,8.0
16,11862,Dr. Megan Eisenberg,209.0,Jane Adams,9.0
17,11862,Mr. Habib,26510.0,Eugene Levy,10.0
18,11862,Wife Mrs. Habib,24358.0,Lori Alan,11.0
19,45325,Tom Sawyer,53283.0,Jonathan Taylor Thomas,0.0
20,45325,Huck Finn,51214.0,Brad Renfro,1.0
21,45325,Becky Thatcher,38581.0,Rachael Leigh Cook,2.0
22,45325,Muff Potter,8316.0,Michael McShane,3.0
23,45325,Aunt Polly,87007.0,Amy Wright,4.0
24,45325,Injun Joe,57448.0,Eric Schweig,5.0
25,45325,Townsperson,102313.0,Tamara Mello,6.0
26,12110,Count Dracula,7633.0,Leslie Nielsen,0.0
27,12110,Prof. Abraham Van Helsing,14639.0,Mel Brooks,1.0
28,12110,Mina Seward,1219.0,Amy Yasbeck,2.0
29,12110,Thomas Renfield,12688.0,Peter MacNicol,3.0
30,12110,Lucy Westenra,12812.0,Lysette Anthony,4.0
31,12110,Dr. Jack Seward,13640.0,Harvey Korman,5.0
32,12110,Jonathan Harker,6106.0,Steven Weber,6.0
33,12110,Martin,29709.0,Mark Blankfield,7.0
34,12110,Essie,53570.0,Megan Cavanagh,8.0
35,12110,Woodbridge,170185.0,Gregg Binkley,9.0
36,12110,Madame Ouspenskaya,10774.0,Anne Bancroft,10.0
37,16420,Othello,2975.0,Laurence Fishburne,0.0
38,16420,Desdemona,1350.0,Irène Jacob,1.0
39,16420,Iago,11181.0,Kenneth Branagh,2.0
40,16420,Cassio,27631.0,Nathaniel Parker,3.0
41,16420,Bianca,232174.0,Indra Ové,4.0
42,16420,Roderigo,17483.0,Michael Maloney,5.0
43,16420,Emilia,1227643.0,Anna Patrick,6.0
44,16420,Montano,32357.0,Nicholas Farrell,7.0
45,16420,Lodovico,3968.0,Michael Sheen,8.0
46,31174,Richard III,1327.0,Ian McKellen,0.0
47,31174,Elizabeth,516.0,Annette Bening,1.0
48,31174,The Duke of Buckingham,388.0,Jim Broadbent,2.0
49,31174,Lady Anne,5470.0,Kristin Scott Thomas,3.0
50,31174,James Tyrrell,42566.0,Adrian Dunbar,4.0
51,31174,Duchess of York,10978.0,Maggie Smith,5.0
52,31174,William Catesby,41043.0,Tim McInnerny,6.0
53,31174,Earl Rivers,3223.0,Robert Downey Jr.,7.0
54,31174,Lord Stanley,3545.0,Edward Hardwicke,8.0
55,31174,The Duke of Clarence,15788.0,Nigel Hawthorne,9.0
56,31174,Lord Hastings,20070.0,Jim Carter,10.0
57,31174,The Earl of Richmond,17287.0,Dominic West,11.0
58,31174,King Edward IV,8937.0,John Wood,12.0
59,31174,Archbishop Thomas,27660.0,Roger Hammond,13.0
60,31174,Sir Richard Ratcliffe,104795.0,Bill Paterson,14.0
61,31174,Brackenbury,20425.0,Donald Sumpter,15.0
62,31174,1st Subaltern,7027.0,James Dreyfus,16.0
63,31174,Ballroom Dancer (uncredited),1271092.0,Derek Lyons,17.0
64,8391,Camille Baker,54818.0,Pascale Bussières,0.0
65,8391,Petra,54819.0,Rachael Crawford,1.0
66,8391,Martin,15319.0,Henry Czerny,2.0
67,8391,Timothy,20173.0,Don McKellar,3.0
68,9089,Claudia Larson,18686.0,Holly Hunter,0.0
69,9089,Tommy Larson,3223.0,Robert Downey Jr.,1.0
70,9089,Adele Larson,10774.0,Anne Bancroft,2.0
71,9089,Henry Larson,1466.0,Charles Durning,3.0
72,9089,Kitt Larson,6194.0,Claire Danes,4.0
73,9089,Leo Fish,32597.0,Dylan McDermott,5.0
74,9089,Aunt Glady,400.0,Geraldine Chaplin,6.0
75,9089,Walter Wedman,26472.0,Steve Guttenberg,7.0
76,9089,Russell Terziak,11064.0,David Strathairn,8.0
77,9089,Joanne Larson Wedman,65528.0,Cynthia Stevenson,9.0
78,9536,Bud Macintosh,64998.0,Pauly Shore,0.0
79,9536,Doyle Johnson,9045.0,Stephen Baldwin,1.0
80,9536,Monique (as Joey Adams),16484.0,Joey Lauren Adams,2.0
81,9536,Jen,43433.0,Teresa Hill,3.0
