,movie_id,department,id,job,name
0,16420,Writing,6210.0,Writer,William Shakespeare
1,16420,Directing,56710.0,Director,Oliver Parker
2,16420,Writing,56710.0,Adaptation,Oliver Parker
3,31174,Directing,33315.0,Director,Richard Loncraine
4,31174,Writing,6210.0,Theatre Play,William Shakespeare
5,31174,Writing,1327.0,Writer,Ian McKellen
6,31174,Writing,33315.0,Writer,Richard Loncraine
7,48750,Directing,16862.0,Director,Claude Lelouch
8,48750,Writing,37127.0,Writer,Victor Hugo
9,48750,Writing,16862.0,Writer,Claude Lelouch
10,46785,Writing,119294.0,Writer,Abbas Kiarostami
11,46785,Directing,120229.0,Director,Jafar Panahi
12,188588,Directing,117075.0,Director,Henry Jaglom
13,47475,Directing,14692.0,Director,Nick Castle
14,55475,Directing,114997.0,Director,Ángel Muñiz
15,55475,Writing,114997.0,Writer,Ángel Muñiz
16,20649,Directing,5281.0,Director,Spike Lee
17,20649,Writing,5281.0,Screenplay,Spike Lee
18,20649,Writing,2989.0,Screenplay,Richard Price
19,52856,Writing,2163.0,Screenplay,Richard LaGravenese
20,52856,Directing,3092.0,Director,Diane Keaton
21,65796,Directing,1723.0,Director,Walter Hill
22,65796,Writing,1723.0,Screenplay,Walter Hill
23,20156,Directing,56205.0,Director,Atom Egoyan
24,20156,Writing,56205.0,Writer,Atom Egoyan
25,27985,Directing,148119.0,Director,Phillip Borsos
26,27985,Writing,148119.0,Writer,Phillip Borsos
27,43475,Directing,129534.0,Director,Art Clokey
28,14819,Directing,32593.0,Director,Steven Brill
29,14819,Writing,32593.0,Author,Steven Brill
30,14819,Writing,41039.0,Author,Judd Apatow
31,32631,Directing,1203.0,Director,J. F. Lawton
32,32631,Writing,1203.0,Writer,J. F. Lawton
33,17402,Directing,5065.0,Director,David Frankel
34,17402,Writing,5065.0,Writer,David Frankel
35,38722,Directing,16395.0,Director,Gregory Nava
36,38722,Writing,16395.0,Writer,Gregory Nava
37,38722,Production,1776.0,Executive Producer,Francis Ford Coppola
38,41478,Directing,16214.0,Director,Mario Van Peebles
39,41478,Writing,135650.0,Writer,Melvin Van Peebles
40,41478,Production,380.0,Producer,Robert De Niro
41,161495,Directing,12804.0,Director,Peter Yates
42,28033,Directing,1524.0,Director,Harold Ramis
43,28033,Writing,65348.0,Screenplay,Al Franken
44,28033,Writing,65348.0,Novel,Al Franken
45,28033,Production,4952.0,Casting,Nancy Foy
46,1587,Directing,5306.0,Director,Lasse Hallström
47,1587,Writing,3290.0,Novel,Peter Hedges
48,1587,Writing,3290.0,Screenplay,Peter Hedges
49,48992,Directing,81727.0,Director,Darnell Martin
50,48992,Writing,81727.0,Writer,Darnell Martin
51,15128,Writing,1224549.0,Screenplay,Robert King
52,15128,Directing,33485.0,Director,Ron Underwood
53,15128,Production,16938.0,Producer,Renny Harlin
54,26352,Directing,35689.0,Director,Keenen Ivory Wayans
55,26352,Writing,35689.0,Writer,Keenen Ivory Wayans
56,32502,Directing,486.0,Director,Wallace Wolodarsky
57,203119,Directing,4040.0,Director,Robert Wuhl
58,203119,Writing,4040.0,Screenplay,Robert Wuhl
59,171857,Directing,77076.0,Director,Michael Corrente
60,38129,Directing,15106.0,Director,Thomas Schlamme
61,38129,Writing,78029.0,Writer,Martin Lawrence
62,16771,Directing,78188.0,Director,Whit Stillman
63,16771,Writing,78188.0,Screenplay,Whit Stillman
64,26203,Writing,11898.0,Screenplay,Dana Stevens
65,26203,Directing,10781.0,Director,Michael Apted
66,24257,Directing,86.0,Director,Bruce Brown
67,20239,Directing,141825.0,Director,Rusty Cundieff
68,20239,Writing,141825.0,Writer,Rusty Cundieff
69,18551,Directing,10967.0,Director,Steve Kloves
70,18551,Writing,10967.0,Writer,Steve Kloves
71,11934,Camera,151.0,Director of Photography,Roger Deakins
72,11934,Writing,1223.0,Screenplay,Joel Coen
73,11934,Directing,1223.0,Director,Joel Coen
74,11934,Writing,1224.0,Screenplay,Ethan Coen
75,11934,Production,1224.0,Producer,Ethan Coen
76,11934,Sound,1225.0,Music,Carter Burwell
77,11934,Production,2236.0,Executive Producer,Tim Bevan
78,11934,Production,2238.0,Executive Producer,Eric Fellner
79,11934,Writing,7623.0,Screenplay,Sam Raimi
80,11934,Editing,17399.0,Editor,Thom Noble
81,59930,Directing,230059.0,Director,Matty Rich
82,31643,Directing,8246.0,Director,Barry Levinson
83,31643,Writing,8246.0,Writer,Barry Levinson
84,31643,Production,5162.0,Producer,Mark Johnson
85,31643,Production,8246.0,Producer,Barry Levinson
86,41588,Directing,16939.0,Director,Michael Tolkin
87,41588,Writing,16939.0,Writer,Michael Tolkin
88,20967,Directing,78012.0,Director,François Girard
89,20967,Writing,78012.0,Writer,François Girard
90,20967,Writing,20173.0,Writer,Don McKellar
91,14587,Directing,6220.0,Director,Gurinder Chadha
92,14587,Writing,6220.0,Writer,Gurinder Chadha
93,14587,Writing,6975.0,Writer,Meera Syal
94,47507,Directing,2406.0,Director,Mathieu Kassovitz
95,25403,Directing,69488.0,Director,Nanni Moretti
96,25403,Writing,69488.0,Writer,Nanni Moretti
97,124304,Writing,1066960.0,Screenplay,María Luisa Bemberg
98,124304,Directing,1066960.0,Director,María Luisa Bemberg
99,278978,Directing,14614.0,Director,Joseph Vilsmaier
100,47502,Directing,47773.0,Director,Paul Mazursky
101,47502,Writing,9046.0,Screenplay,Chazz Palminteri
102,47502,Writing,9046.0,Theatre Play,Chazz Palminteri
103,47502,Crew,8217.0,Cinematography,Conrad L. Hall
104,47502,Production,380.0,Producer,Robert De Niro
105,27768,Writing,879.0,Author,Billy Bob Thornton
106,27768,Directing,37852.0,Director,George Hickenlooper
107,88030,Directing,54767.0,Director,Mika Kaurismäki
108,185191,Directing,19069.0,Director,Claude Chabrol
109,33245,Directing,8876.0,Director,Randal Kleiser
110,47119,Directing,16988.0,Director,Maurice Pialat
111,47119,Writing,16988.0,Scenario Writer,Maurice Pialat
112,47119,Writing,49067.0,Scenario Writer,Sylvie Pialat
113,22621,Directing,366.0,Director,James Mangold
114,22621,Writing,366.0,Writer,James Mangold
115,124633,Directing,1009298.0,Director,Goran Paskaljević
116,124633,Writing,15255.0,Writer,Gordan Mihić
117,123763,Directing,1066960.0,Director,María Luisa Bemberg
