budget,movie_id,original_title,release_date,revenue,title,vote_average,vote_count,genre,return
30000000.0,862,Toy Story,1995-10-30,373554033.0,Toy Story,7.7,5415.0,Animation,12.4518011
65000000.0,8844,Jumanji,1995-12-15,262797249.0,Jumanji,6.9,2413.0,Adventure,4.0430346
0.0,15602,Grumpier Old Men,1995-12-22,0.0,Grumpier Old Men,6.5,92.0,Romance,0.0
16000000.0,31357,Waiting to Exhale,1995-12-22,81452156.0,Waiting to Exhale,6.1,34.0,Comedy,5.09075975
0.0,11862,Father of the Bride Part II,1995-02-10,76578911.0,Father of the Bride Part II,5.7,173.0,Comedy,0.0
60000000.0,949,Heat,1995-12-15,187436818.0,Heat,7.7,1886.0,Action,3.123946966666667
58000000.0,11860,Sabrina,1995-12-15,0.0,Sabrina,6.2,141.0,Comedy,0.0
0.0,45325,Tom and Huck,1995-12-22,0.0,Tom and Huck,5.4,45.0,Action,0.0
35000000.0,9091,Sudden Death,1995-12-22,64350171.0,Sudden Death,5.5,174.0,Action,1.8385763142857143
58000000.0,710,GoldenEye,1995-11-16,352194034.0,GoldenEye,6.6,1194.0,Adventure,6.072310931034483
62000000.0,9087,The American President,1995-11-17,107879496.0,The American President,6.5,199.0,Comedy,1.739991870967742
0.0,12110,Dracula: Dead and Loving It,1995-12-22,0.0,Dracula: Dead and Loving It,5.7,210.0,Comedy,0.0
0.0,21032,Balto,1995-12-22,11348324.0,Balto,7.1,423.0,Family,0.0
44000000.0,10858,Nixon,1995-12-22,13681765.0,Nixon,7.1,72.0,History,0.31094920454545455
98000000.0,1408,Cutthroat Island,1995-12-22,10017322.0,Cutthroat Island,5.7,137.0,Action,0.10221757142857144
52000000.0,524,Casino,1995-11-22,116112375.0,Casino,7.8,1343.0,Drama,2.2329302884615383
16500000.0,4584,Sense and Sensibility,1995-12-13,135000000.0,Sense and Sensibility,7.2,364.0,Drama,8.181818181818182
4000000.0,5,Four Rooms,1995-12-09,4300000.0,Four Rooms,6.5,539.0,Crime,1.075
30000000.0,9273,Ace Ventura: When Nature Calls,1995-11-10,212385533.0,Ace Ventura: When Nature Calls,6.1,1128.0,Crime,7.079517766666667
60000000.0,11517,Money Train,1995-11-21,35431113.0,Money Train,5.4,224.0,Action,0.59051855
30250000.0,8012,Get Shorty,1995-10-20,115101622.0,Get Shorty,6.4,305.0,Comedy,3.805012297520661
0.0,1710,Copycat,1995-10-27,0.0,Copycat,6.5,199.0,Drama,0.0
50000000.0,9691,Assassins,1995-10-06,30303072.0,Assassins,6.0,394.0,Action,0.60606144
0.0,12665,Powder,1995-10-27,0.0,Powder,6.3,143.0,Drama,0.0
3600000.0,451,Leaving Las Vegas,1995-10-27,49800000.0,Leaving Las Vegas,7.1,365.0,Drama,13.833333333333334
0.0,16420,Othello,1995-12-15,0.0,Othello,7.0,33.0,Drama,0.0
12000000.0,9263,Now and Then,1995-10-20,27400000.0,Now and Then,6.6,91.0,Comedy,2.283333333333333
0.0,17015,Persuasion,1995-09-27,0.0,Persuasion,7.4,36.0,Drama,0.0
18000000.0,902,La Cité des Enfants Perdus,1995-05-16,1738611.0,The City of Lost Children,7.6,308.0,Fantasy,0.0965895
